X Y R
5000.0000 5250.0000 235.1412
7500.0000 5250.0000 325.2004
2500.0000 5300.0000 157.2137
5000.0000 5300.0000 235.1348
7500.0000 5300.0000 325.1863
2500.0000 5350.0000 157.2120
5000.0000 5350.0000 235.1272
7500.0000 5350.0000 325.1697
2500.0000 5400.0000 157.2101
5000.0000 5400.0000 235.1183
7500.0000 5400.0000 325.1503
2500.0000 5450.0000 157.2079
5000.0000 5450.0000 235.1082
7500.0000 5450.0000 325.1282
2500.0000 5500.0000 157.2054
5000.0000 5500.0000 235.0968
7500.0000 5500.0000 325.1033
2500.0000 5550.0000 157.2026
5000.0000 5550.0000 235.0842
7500.0000 5550.0000 325.0755
2500.0000 5600.0000 157.1995
5000.0000 5600.0000 235.0702
7500.0000 5600.0000 325.0448
2500.0000 5650.0000 157.1961
5000.0000 5650.0000 235.0548
7500.0000 5650.0000 325.0112
2500.0000 5700.0000 157.1925
5000.0000 5700.0000 235.0381
7500.0000 5700.0000 324.9744
2500.0000 5750.0000 157.1884
5000.0000 5750.0000 235.0200
7500.0000 5750.0000 324.9345
2500.0000 5800.0000 157.1841
5000.0000 5800.0000 235.0003
7500.0000 5800.0000 324.8912
2500.0000 5850.0000 157.1795
5000.0000 5850.0000 234.9792
7500.0000 5850.0000 324.8446
2500.0000 5900.0000 157.1745
5000.0000 5900.0000 234.9564
7500.0000 5900.0000 324.7944
2500.0000 5950.0000 157.1691
5000.0000 5950.0000 234.9321
7500.0000 5950.0000 324.7405
2500.0000 6000.0000 157.1633
5000.0000 6000.0000 234.9060
7500.0000 6000.0000 324.6827
2500.0000 6050.0000 157.1572
5000.0000 6050.0000 234.8782
7500.0000 6050.0000 324.6210
2500.0000 6100.0000 157.1507
5000.0000 6100.0000 234.8485
7500.0000 6100.0000 324.5550
2500.0000 6150.0000 157.1437
5000.0000 6150.0000 234.8169
7500.0000 6150.0000 324.4847
2500.0000 6200.0000 157.1363
5000.0000 6200.0000 234.7832
7500.0000 6200.0000 324.4097
2500.0000 6250.0000 157.1283
5000.0000 6250.0000 234.7475
7500.0000 6250.0000 324.3298
2500.0000 6300.0000 157.1200
5000.0000 6300.0000 234.7096
7500.0000 6300.0000 324.2448
2500.0000 6350.0000 157.1110
5000.0000 6350.0000 234.6693
7500.0000 6350.0000 324.1544
2500.0000 6400.0000 157.1016
5000.0000 6400.0000 234.6265
7500.0000 6400.0000 324.0582
2500.0000 6450.0000 157.0915
5000.0000 6450.0000 234.5812
7500.0000 6450.0000 323.9559
2500.0000 6500.0000 157.0809
5000.0000 6500.0000 234.5331
7500.0000 6500.0000 323.8472
2500.0000 6550.0000 157.0695
5000.0000 6550.0000 234.4821
7500.0000 6550.0000 323.7315
2500.0000 6600.0000 157.0575
5000.0000 6600.0000 234.4279
7500.0000 6600.0000 323.6085
2500.0000 6650.0000 157.0447
5000.0000 6650.0000 234.3705
7500.0000 6650.0000 323.4776
2500.0000 6700.0000 157.0312
5000.0000 6700.0000 234.3096
7500.0000 6700.0000 323.3383
2500.0000 6750.0000 157.0167
5000.0000 6750.0000 234.2449
7500.0000 6750.0000 323.1900
2500.0000 6800.0000 157.0014
5000.0000 6800.0000 234.1762
7500.0000 6800.0000 323.0319
2500.0000 6850.0000 156.9850
5000.0000 6850.0000 234.1031
7500.0000 6850.0000 322.8634
2500.0000 6900.0000 156.9676
5000.0000 6900.0000 234.0255
7500.0000 6900.0000 322.6836
2500.0000 6950.0000 156.9489
5000.0000 6950.0000 233.9427
7500.0000 6950.0000 322.4916
2500.0000 7000.0000 156.9291
5000.0000 7000.0000 233.8546
7500.0000 7000.0000 322.2862
2500.0000 7050.0000 156.9078
5000.0000 7050.0000 233.7606
7500.0000 7050.0000 322.0664
2500.0000 7100.0000 156.8851
5000.0000 7100.0000 233.6602
7500.0000 7100.0000 321.8309
2500.0000 7150.0000 156.8606
5000.0000 7150.0000 233.5528
7500.0000 7150.0000 321.5782
2500.0000 7200.0000 156.8345
5000.0000 7200.0000 233.4377
7500.0000 7200.0000 321.3067
2500.0000 7250.0000 156.8062
5000.0000 7250.0000 233.3144
7500.0000 7250.0000 321.0144
2500.0000 7300.0000 156.7758
5000.0000 7300.0000 233.1818
7500.0000 7300.0000 320.6994
2500.0000 7350.0000 156.7428
5000.0000 7350.0000 233.0390
7500.0000 7350.0000 320.3592
2500.0000 7400.0000 156.7073
5000.0000 7400.0000 232.8850
7500.0000 7400.0000 319.9912
2500.0000 7450.0000 156.6685
5000.0000 7450.0000 232.7184
7500.0000 7450.0000 319.5922
2500.0000 7500.0000 156.6264
5000.0000 7500.0000 232.5378
7500.0000 7500.0000 319.1587
2500.0000 7550.0000 156.5803
5000.0000 7550.0000 232.3415
7500.0000 7550.0000 318.6866
2500.0000 7600.0000 156.5299
5000.0000 7600.0000 232.1276
7500.0000 7600.0000 318.1711
2500.0000 7650.0000 156.4742
5000.0000 7650.0000 231.8936
7500.0000 7650.0000 317.6070
2500.0000 7700.0000 156.4131
5000.0000 7700.0000 231.6368
7500.0000 7700.0000 316.9878
2500.0000 7750.0000 156.3449
5000.0000 7750.0000 231.3541
7500.0000 7750.0000 316.3063
2500.0000 7800.0000 156.2693
5000.0000 7800.0000 231.0415
7500.0000 7800.0000 315.5537
2500.0000 7850.0000 156.1843
5000.0000 7850.0000 230.6944
7500.0000 7850.0000 314.7200
2500.0000 7900.0000 156.0892
5000.0000 7900.0000 230.3073
7500.0000 7900.0000 313.7932
2500.0000 7950.0000 155.9809
5000.0000 7950.0000 229.8733
7500.0000 7950.0000 312.7593
2500.0000 8000.0000 155.8582
5000.0000 8000.0000 229.3842
7500.0000 8000.0000 311.6017
2500.0000 8050.0000 155.7167
5000.0000 8050.0000 228.8299
7500.0000 8050.0000 310.3004
2500.0000 8100.0000 155.5540
5000.0000 8100.0000 228.1977
7500.0000 8100.0000 308.8319
2500.0000 8150.0000 155.3634
5000.0000 8150.0000 227.4721
7500.0000 8150.0000 307.1679
2500.0000 8200.0000 155.1405
5000.0000 8200.0000 226.6331
7500.0000 8200.0000 305.2749
2500.0000 8250.0000 154.8741
5000.0000 8250.0000 225.6560
7500.0000 8250.0000 303.1129
2500.0000 8300.0000 154.5560
5000.0000 8300.0000 224.5088
7500.0000 8300.0000 300.6341
2500.0000 8350.0000 154.1665
5000.0000 8350.0000 223.1506
7500.0000 8350.0000 297.7829
2500.0000 8400.0000 153.6891
5000.0000 8400.0000 221.5287
7500.0000 8400.0000 294.4942
2500.0000 8450.0000 153.0871
5000.0000 8450.0000 219.5745
7500.0000 8450.0000 290.6945
2500.0000 8500.0000 152.3242
5000.0000 8500.0000 217.1994
7500.0000 8500.0000 286.3037
2500.0000 8550.0000 151.3255
5000.0000 8550.0000 214.2891
7500.0000 8550.0000 281.2404
2500.0000 8600.0000 150.0059
5000.0000 8600.0000 210.6991
7500.0000 8600.0000 275.4336
2500.0000 8650.0000 148.1946
5000.0000 8650.0000 206.2535
7500.0000 8650.0000 268.8437
2500.0000 8700.0000 145.6739
5000.0000 8700.0000 200.7557
7500.0000 8700.0000 261.4981
2500.0000 8750.0000 142.0148
5000.0000 8750.0000 194.0283
7500.0000 8750.0000 253.5459
2500.0000 8800.0000 136.6381
5000.0000 8800.0000 186.0220
7500.0000 8800.0000 245.3302
2500.0000 8850.0000 128.5044
5000.0000 8850.0000 177.0548
2500.0000 8900.0000 116.7732
             0
         10000
             0
         10000
      116.6649
             0
