X Y Tilt_Depth
7193.4079 3350.0000 250.2040
7193.2780 3300.0000 250.4276
7193.1399 3250.0000 250.6642
7192.9932 3200.0000 250.9148
7192.8371 3150.0000 251.1801
7192.6711 3100.0000 251.4609
7192.4943 3050.0000 251.7585
7192.3059 3000.0000 252.0736
7192.1050 2950.0000 252.4075
7191.8904 2900.0000 252.7613
7191.6611 2850.0000 253.1364
7191.4157 2800.0000 253.5341
7191.1528 2750.0000 253.9558
7190.8707 2700.0000 254.4031
7190.5677 2650.0000 254.8775
7190.2415 2600.0000 255.3809
7189.8901 2550.0000 255.9148
7189.5106 2500.0000 256.5222
7189.1002 2450.0000 257.1773
7188.6555 2400.0000 257.8711
7188.1726 2350.0000 258.6055
7187.6473 2300.0000 259.3821
7187.0744 2250.0000 260.2024
7186.4487 2200.0000 261.0670
7185.7634 2150.0000 261.9764
7185.0116 2100.0000 262.9303
7184.1850 2050.0000 263.9266
7183.2746 2000.0000 264.9624
7182.2701 1950.0000 266.0325
7181.1606 1900.0000 267.1291
7179.9343 1850.0000 268.2415
7178.5792 1800.0000 269.3548
7177.0840 1750.0000 270.4497
7175.4393 1700.0000 271.5015
7173.6401 1650.0000 272.4797
7171.6901 1600.0000 273.3487
7169.6067 1550.0000 274.0679
7167.4303 1500.0000 274.5959
7165.2364 1450.0000 274.8962
7163.1513 1400.0000 274.9485
7161.3721 1350.0000 274.7706
7160.1889 1300.0000 274.4532
7160.0075 1250.0000 274.2212
7161.3716 1200.0000 273.9316
7164.9920 1150.0000 273.8296
7171.7914 1100.0000 273.5307
7182.9835 1050.0000 274.4516
7200.0000 1000.4686 275.8786
7200.1582 1000.0000 275.8906
7223.9001 950.0000 277.8634
7250.0000 911.4311 280.8834
7258.8537 900.0000 281.6092
7300.0000 858.5008 286.5197
7311.1093 850.0000 286.8954
7350.0000 823.7623 289.4453
7400.0000 801.7791 294.3175
7406.9797 800.0000 295.1388
4863.4829 900.0000 207.3390
4900.0000 878.0080 209.5717
4950.0000 862.1941 212.0100
5000.0000 857.4066 211.2935
5050.0000 862.1008 211.9527
5100.0000 877.7925 209.1579
5137.0113 900.0000 206.7506
5150.0000 908.9214 206.6810
5189.2160 950.0000 204.3296
5200.0000 967.3143 204.2864
5218.1031 1000.0000 204.4025
5234.1044 1050.0000 202.6438
5241.8719 1100.0000 203.6648
5244.7298 1150.0000 204.1212
5244.7637 1200.0000 204.8064
5243.3188 1250.0000 205.2845
5241.2386 1300.0000 205.4470
5239.0092 1350.0000 205.1691
5236.8785 1400.0000 204.4910
5234.9527 1450.0000 203.5077
5233.2615 1500.0000 202.3206
5231.7975 1550.0000 201.0169
5230.5380 1600.0000 199.6647
5229.4559 1650.0000 198.3136
5228.5249 1700.0000 197.0432
5227.7212 1750.0000 195.9664
5227.0244 1800.0000 194.9490
5226.4175 1850.0000 193.9960
5225.8861 1900.0000 193.1084
5225.4185 1950.0000 192.2848
5225.0049 2000.0000 191.5226
5224.6374 2050.0000 190.8181
5224.3093 2100.0000 190.1671
5224.0150 2150.0000 189.5658
5223.7500 2200.0000 189.0099
5223.5103 2250.0000 188.4958
5223.2928 2300.0000 188.0198
5223.0947 2350.0000 187.5786
5222.9137 2400.0000 187.1692
5222.7477 2450.0000 186.7889
5222.5952 2500.0000 186.4351
5222.4547 2550.0000 186.1057
5222.3248 2600.0000 185.7985
5222.2045 2650.0000 185.5118
5222.0929 2700.0000 185.2439
5221.9892 2750.0000 184.9932
5221.8925 2800.0000 184.7585
5221.8023 2850.0000 184.5384
5221.7181 2900.0000 184.3320
5221.6392 2950.0000 184.1381
5221.5654 3000.0000 183.9560
5221.4961 3050.0000 183.7847
5221.4311 3100.0000 183.6235
5221.3699 3150.0000 183.4717
5221.3125 3200.0000 183.3288
5221.2584 3250.0000 183.1941
5221.2074 3300.0000 183.0671
5221.1594 3350.0000 182.9473
5221.1142 3400.0000 182.8343
5221.0715 3450.0000 182.7278
5221.0313 3500.0000 182.6273
5220.9934 3550.0000 182.5324
5220.9576 3600.0000 182.4430
5220.9239 3650.0000 182.3587
5220.8921 3700.0000 182.2792
5220.8622 3750.0000 182.2043
5220.8340 3800.0000 182.1338
5220.8074 3850.0000 182.0674
5220.7825 3900.0000 182.0051
5220.7590 3950.0000 181.9465
5220.7371 4000.0000 181.8916
5220.7165 4050.0000 181.8401
5220.6972 4100.0000 181.7921
5220.6793 4150.0000 181.7473
5220.6626 4200.0000 181.7055
5220.6470 4250.0000 181.6669
5220.6327 4300.0000 181.6310
5220.6195 4350.0000 181.5981
5220.6074 4400.0000 181.5679
5220.5963 4450.0000 181.5403
5220.5863 4500.0000 181.5154
5220.5773 4550.0000 181.4930
5220.5693 4600.0000 181.4731
5220.5623 4650.0000 181.4556
5220.5563 4700.0000 181.4406
5220.5512 4750.0000 181.4279
5220.5470 4800.0000 181.4175
5220.5438 4850.0000 181.4095
5220.5415 4900.0000 181.4038
5220.5401 4950.0000 181.4004
5220.5397 5000.0000 181.3992
5220.5401 5050.0000 181.4004
5220.5415 5100.0000 181.4038
5220.5438 5150.0000 181.4095
5220.5470 5200.0000 181.4175
5220.5512 5250.0000 181.4278
5220.5562 5300.0000 181.4404
5220.5623 5350.0000 181.4555
5220.5693 5400.0000 181.4729
5220.5772 5450.0000 181.4928
5220.5862 5500.0000 181.5152
5220.5962 5550.0000 181.5401
5220.6073 5600.0000 181.5676
5220.6194 5650.0000 181.5978
5220.6326 5700.0000 181.6307
5220.6469 5750.0000 181.6665
5220.6624 5800.0000 181.7052
5220.6791 5850.0000 181.7469
5220.6971 5900.0000 181.7917
5220.7163 5950.0000 181.8397
5220.7369 6000.0000 181.8911
5220.7588 6050.0000 181.9460
5220.7823 6100.0000 182.0045
5220.8072 6150.0000 182.0669
5220.8337 6200.0000 182.1332
5220.8619 6250.0000 182.2036
5220.8918 6300.0000 182.2785
5220.9236 6350.0000 182.3579
5220.9573 6400.0000 182.4422
5220.9931 6450.0000 182.5316
5221.0310 6500.0000 182.6264
5221.0712 6550.0000 182.7269
5221.1138 6600.0000 182.8334
5221.1590 6650.0000 182.9463
5221.2070 6700.0000 183.0660
5221.2579 6750.0000 183.1929
5221.3120 6800.0000 183.3276
5221.3694 6850.0000 183.4705
5221.4305 6900.0000 183.6221
5221.4955 6950.0000 183.7832
5221.5648 7000.0000 183.9544
5221.6386 7050.0000 184.1365
5221.7174 7100.0000 184.3303
5221.8016 7150.0000 184.5366
5221.8917 7200.0000 184.7565
5221.9883 7250.0000 184.9911
5222.0920 7300.0000 185.2416
5222.2036 7350.0000 185.5095
5222.3238 7400.0000 185.7960
5222.4535 7450.0000 186.1030
5222.5940 7500.0000 186.4322
5222.7464 7550.0000 186.7858
5222.9122 7600.0000 187.1659
5223.0931 7650.0000 187.5750
5223.2911 7700.0000 188.0159
5223.5084 7750.0000 188.4916
5223.7479 7800.0000 189.0055
5224.0127 7850.0000 189.5610
5224.3068 7900.0000 190.1620
5224.6346 7950.0000 190.8125
5225.0018 8000.0000 191.5166
5225.4149 8050.0000 192.2783
5225.8820 8100.0000 193.1013
5226.4129 8150.0000 193.9884
5227.0192 8200.0000 194.9409
5227.7152 8250.0000 195.9578
5228.5180 8300.0000 197.0341
5229.4479 8350.0000 198.3026
5230.5286 8400.0000 199.6536
5231.7866 8450.0000 201.0058
5233.2488 8500.0000 202.3102
5234.9382 8550.0000 203.4986
5236.8622 8600.0000 204.4839
